Item	Category	Sources
Ravel Keeper's Axe	Instance	The Qitana Ravel
Omega Battleaxe	Acquire	Omega Weapon Coffer
Omega Battleaxe	Instance	Alphascape V4.0 (Savage)
Genji Greataxe	Acquire	Genji Coffer
Genji Greataxe	Instance	Deltascape V4.0 (Savage)
Antiquated Farsha	Acquire	Brutal Armor Coffer
Diamond Axe	Acquire	Diamond Weapon Coffer
Diamond Axe	Instance	Sigmascape V4.0 (Savage)
Lakeland War Axe	Instance	Holminster Switch
Seiryu's War Axe	Instance	The Wreath of Snakes (Extreme)
Axe of the Crimson Lotus	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Shinryu's War Axe	Instance	The Minstrel's Ballad: Shinryu's Domain
The Impassible Peak	Instance	Bardam's Mettle
Kintoki Shin	Instance	Doma Castle
Alexandrian Metal Axe	Instance	Alexander - The Soul of the Creator (Savage)
Horde Axe	Instance	The Minstrel's Ballad: Nidhogg's Rage
Ruby Tide Axe	Instance	Shisui of the Violet Tides
Sparth	Instance	Castrum Abania
Zurvanite Axe	Instance	Containment Bay Z1T9 (Extreme)
Ghost Barque Battleaxe	Instance	The Sirensong Sea
Midan Metal Axe	Instance	Alexander - The Burden of the Son (Savage)
Axe of the Sephirot	Instance	Containment Bay S1T7 (Extreme)
Gordian Axe	Instance	Alexander - The Burden of the Father (Savage)
Sophic Axe	Instance	Containment Bay P1T6 (Extreme)
Axe of the Heavens	Instance	The Minstrel's Ballad: Thordan's Reign
Hive Battleaxe	Instance	Thok ast Thok (Extreme)
Dreadwyrm Bardiche	Instance	The Final Coil of Bahamut - Turn 4
Expanse Battleaxe	Instance	The Limitless Blue (Extreme)
Martial Axe	Instance	The Dusk Vigil
Skeggiold	Instance	The Aery
Baldur Axe	Instance	Neverreap	The Fractal Continuum
Conquerer	Acquire	Level 110 Weapon Coffer
Allagan Battleaxe	Instance	The Binding Coil of Bahamut - Turn 5
Foolkiller	Instance	Sohm Al
Halonic Inquisitor's Axe	Instance	The Vault
Wave Axe	Instance	The Whorleater (Extreme)
High Allagan Battleaxe	Instance	The Second Coil of Bahamut - Turn 4	The Second Coil of Bahamut (Savage) - Turn 4
Nymian Royal Marine Battleaxe	Instance	The Great Gubal Library
Thunderstorm	Instance	The Striking Tree (Extreme)
True Ice Axe	Instance	Akh Afah Amphitheatre (Extreme)
Dual Haken	Acquire	Level 90 Weapon Coffer
Garuda's Scream	Instance	The Howling Eye (Hard)
Ifrit's Battleaxe	Instance	The Bowl of Embers (Hard)
Giantsgall War Axe	Acquire	Level 70 Weapon Coffer
Malignant Mogaxe	Instance	Thornmarch (Hard)
Darklight Bill	Instance	The Wanderer's Palace	Amdapor Keep
The Axe of Crags	Instance	The Navel (Hard)
Spiked Cobalt Labrys	Acquire	Level 49 Weapon Coffer
Dzemael Bardiche	Instance	Dzemael Darkhold
Canopus Bill	Instance	The Aurum Vale
Buccaneer's Bardiche	Acquire	Level 45 Weapon Coffer
Eisentaenzer	Instance	The Stone Vigil
Longstop Labrys	Instance	Brayflox's Longstop
Iron Bill	Acquire	Level 21 Weapon Coffer
Spiked Mythril Labrys	Acquire	Level 36 Weapon Coffer
Mythril Bhuj	Acquire	Level 40 Weapon Coffer
Doctore's Bill	Instance	Halatali
Thunderstorm Axe	Acquire	Level 24 Weapon Coffer
Plundered Battleaxe	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Steel Bhuj	Acquire	Level 34 Weapon Coffer
Inferno Axe	Acquire	Level 18 Weapon Coffer
Crier's Bhuj	Instance	Cutter's Cry
Charred Axe	Instance	Haukke Manor
Spiked Steel Labrys	Acquire	Level 28 Weapon Coffer
Boar's Bane	Instance	The Sunken Temple of Qarn
Elmlord's Tusk	Instance	The Thousand Maws of Toto-Rak
Edengrace Greatsword	Acquire	Edengrace Weapon Coffer
Edengrace Greatsword	Instance	Eden's Gate: Sepulture (Savage)
Suzaku's Odachi	Instance	Hells' Kier (Extreme)
Deepgold Greatsword	Acquire	Deepgold Weapon Coffer
Seiryu's Spine	Instance	The Wreath of Snakes (Extreme)
Bluespirit Guillotine	Acquire	Bluespirit Weapon Coffer
Eleos	Instance	The Minstrel's Ballad: Hades's Elegy
Greatsword of the Forgiven	Instance	Mt. Gulg
Fae Guillotine	Instance	Dohn Mheg
Deepgold Claymore	Acquire	White Oak Weapon Coffer
The King's Guillotine	Instance	The Dancing Plague (Extreme)
Edenchoir Greatsword	Acquire	Edenchoir Weapon Coffer
Edenchoir Greatsword	Instance	Eden's Verse: Refulgence (Savage)
Lakeland Greatsword	Instance	Holminster Switch
Ruby Greatsword	Instance	Cinder Drift (Extreme)
Nabaath Blade	Instance	Malikah's Well
Ravel Keeper's Guillotine	Instance	The Qitana Ravel
Dwarven Mythril Guillotine	Acquire	High Mythril Weapon Coffer
Titanbronze Guillotine	Acquire	Titanbronze Weapon Coffer
Omega Claymore	Acquire	Omega Weapon Coffer
Omega Claymore	Instance	Alphascape V4.0 (Savage)
Diamond Greatsword	Acquire	Diamond Weapon Coffer
Diamond Greatsword	Instance	Sigmascape V4.0 (Savage)
Odenta Kai	Acquire	Dai-ryumyaku Weapon Coffer
Susano's Greatsword	Instance	The Pool of Tribute (Extreme)
Genji Nagamaki	Acquire	Genji Coffer
Genji Nagamaki	Instance	Deltascape V4.0 (Savage)
Wave Faussar	Instance	The Whorleater (Extreme)
The Blazing Sun	Instance	Bardam's Mettle
Greatsword of the Crimson Lotus	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Midan Metal Greatsword	Instance	Alexander - The Burden of the Son (Savage)
Ghost Barque Claymore	Instance	The Sirensong Sea
Gordian Greatsword	Instance	Alexander - The Burden of the Father (Savage)
Alexandrian Metal Guillotine	Instance	Alexander - The Soul of the Creator (Savage)
Baldur Blade	Instance	Neverreap	The Fractal Continuum
Garuda's Pain	Instance	The Howling Eye (Hard)
Zurvanite Edge	Instance	Containment Bay Z1T9 (Extreme)
Sophic Edge	Instance	Containment Bay P1T6 (Extreme)
Allagan Guillotine	Instance	The Binding Coil of Bahamut - Turn 5
Shinryu's Greatsword	Instance	The Minstrel's Ballad: Shinryu's Domain
Thunderclap	Instance	The Striking Tree (Extreme)
Dainslaif	Instance	The Aery
Ifrit's Faussar	Instance	The Bowl of Embers (Hard)
Expanse Greatsword	Instance	The Limitless Blue (Extreme)
Tsukuyomi's Odachi	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Halonic Inquisitor's Greatsword	Instance	The Vault
Monstrous Mogsword	Instance	Thornmarch (Hard)
Dreadwyrm Claymore	Instance	The Final Coil of Bahamut - Turn 4
High Allagan Guillotine	Instance	The Second Coil of Bahamut - Turn 4	The Second Coil of Bahamut (Savage) - Turn 4
Darklight Greatsword	Instance	The Wanderer's Palace	Amdapor Keep
Balisarde	Instance	The Aurum Vale
Edge of the Sephirot	Instance	Containment Bay S1T7 (Extreme)
Cruadin	Instance	Castrum Abania
Ruby Tide Greatsword	Instance	Shisui of the Violet Tides
Byakko's Greatsword	Instance	The Jade Stoa (Extreme)
Claymore of the Heavens	Instance	The Minstrel's Ballad: Thordan's Reign
Kumokirimaru Shin	Instance	Doma Castle
Horde Guillotine	Instance	The Minstrel's Ballad: Nidhogg's Rage
Antiquated Caladbolg	Acquire	Abyss Armor Coffer
Martial Greatsword	Instance	The Dusk Vigil
Guillotine of Crags	Instance	The Navel (Hard)
True Ice Breaker	Instance	Akh Afah Amphitheatre (Extreme)
Belah'dian Claymore	Instance	The Great Gubal Library
Hive Claymore	Instance	Thok ast Thok (Extreme)
Skofnung	Instance	Sohm Al
Crier's Claymore	Instance	Cutter's Cry
Longstop Greatsword	Instance	Brayflox's Longstop
The King's Manatrigger	Instance	The Dancing Plague (Extreme)
Lockheart	Instance	The Stone Vigil
Dzemael Zweihander	Instance	Dzemael Darkhold
Edengrace Manatrigger	Acquire	Edengrace Weapon Coffer
Edengrace Manatrigger	Instance	Eden's Gate: Sepulture (Savage)
Edenchoir Gunblade	Acquire	Edenchoir Weapon Coffer
Edenchoir Gunblade	Instance	Eden's Verse: Refulgence (Savage)
Platoon Sword	Instance	The Sunken Temple of Qarn
Odune	Instance	The Minstrel's Ballad: Hades's Elegy
Ruby Sawback	Instance	Cinder Drift (Extreme)
Susano's Pike	Instance	The Pool of Tribute (Extreme)
Antiquated Ryunohige	Acquire	Trueblood Attire Coffer
Narval	Instance	Castrum Abania
Halberd of the Heavens	Instance	The Minstrel's Ballad: Thordan's Reign
The Nimble Beast	Instance	Bardam's Mettle
Midan Metal Spear	Instance	Alexander - The Burden of the Son (Savage)
Ghost Barque Partisan	Instance	The Sirensong Sea
Pike of the Sephirot	Instance	Containment Bay S1T7 (Extreme)
Ruby Tide Lance	Instance	Shisui of the Violet Tides
Alexandrian Metal Spear	Instance	Alexander - The Soul of the Creator (Savage)
Horde Spear	Instance	The Minstrel's Ballad: Nidhogg's Rage
Zurvanite Pike	Instance	Containment Bay Z1T9 (Extreme)
Gordian Trident	Instance	Alexander - The Burden of the Father (Savage)
Iwa-toshi Shin	Instance	Doma Castle
Spear of the Crimson Lotus	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Sophic Pike	Instance	Containment Bay P1T6 (Extreme)
Ravel Keeper's Sawback	Instance	The Qitana Ravel
Deepgold Gunblade	Acquire	White Oak Weapon Coffer
Ruby Tide Gunblade	Instance	Shisui of the Violet Tides
Edenchoir Fork	Acquire	Edenchoir Weapon Coffer
Edenchoir Fork	Instance	Eden's Verse: Refulgence (Savage)
Nabaath Manatrigger	Instance	Malikah's Well
Dwarven Mythril Manatrigger	Acquire	High Mythril Weapon Coffer
The Impassionate Tide	Instance	Bardam's Mettle
Gunblade of the Crimson Lotus	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Edengrace Spear	Acquire	Edengrace Weapon Coffer
Edengrace Spear	Instance	Eden's Gate: Sepulture (Savage)
Ruby Partisan	Instance	Cinder Drift (Extreme)
Fae Manatrigger	Instance	Dohn Mheg
Deepgold Bayonet	Acquire	Deepgold Weapon Coffer
Lakeland Manatrigger	Instance	Holminster Switch
Shinryu's Gunblade	Instance	The Minstrel's Ballad: Shinryu's Domain
Wakasa Shin	Instance	Doma Castle
Titanbronze Bayonet	Acquire	Titanbronze Weapon Coffer
Yaita Kai	Acquire	Dai-ryumyaku Weapon Coffer
Omega Bayonet	Acquire	Omega Weapon Coffer
Omega Bayonet	Instance	Alphascape V4.0 (Savage)
Hrotti	Instance	Castrum Abania
Ghost Barque Gunblade	Instance	The Sirensong Sea
Manatrigger of the Forgiven	Instance	Mt. Gulg
Menis	Instance	The Minstrel's Ballad: Hades's Elegy
Bluespirit Gunblade	Acquire	Bluespirit Weapon Coffer
The King's Spear	Instance	The Dancing Plague (Extreme)
Shinryu's Lance	Instance	The Minstrel's Ballad: Shinryu's Domain
Diamond Halberd	Acquire	Diamond Weapon Coffer
Diamond Halberd	Instance	Sigmascape V4.0 (Savage)
Ravel Keeper's Spear	Instance	The Qitana Ravel
Omega Trident	Acquire	Omega Weapon Coffer
Omega Trident	Instance	Alphascape V4.0 (Savage)
Genji Naginata	Acquire	Genji Coffer
Genji Naginata	Instance	Deltascape V4.0 (Savage)
Byakko's Lance	Instance	The Jade Stoa (Extreme)
Applewood Spear	Acquire	Deepgold Weapon Coffer
Tsukuyomi's Lance	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Trident of the Forgiven	Instance	Mt. Gulg
Sandteak Fauchard	Acquire	Titanbronze Weapon Coffer
Bluespirit Spear	Acquire	Bluespirit Weapon Coffer
Fae Spear	Instance	Dohn Mheg
Otegine Kai	Acquire	Dai-ryumyaku Weapon Coffer
Seiryu's Lance	Instance	The Wreath of Snakes (Extreme)
White Oak Partisan	Acquire	White Oak Weapon Coffer
Lakeland Lance	Instance	Holminster Switch
Nabaath Spear	Instance	Malikah's Well
Dwarven Lignum Lance	Acquire	High Mythril Weapon Coffer
Suzaku's Lance	Instance	Hells' Kier (Extreme)
True Ice Spear	Instance	Akh Afah Amphitheatre (Extreme)
Halonic Ostiary's Halberd	Instance	The Vault
Ox Tongue	Instance	Sohm Al
Expanse Partisan	Instance	The Limitless Blue (Extreme)
Martial Halberd	Instance	The Dusk Vigil
Thavnairian Partisan	Instance	The Great Gubal Library
Liberator	Acquire	Level 110 Weapon Coffer
Grasitha	Instance	The Aery
Dreadwyrm Spear	Instance	The Final Coil of Bahamut - Turn 4
Hive Spear	Instance	Thok ast Thok (Extreme)
Baldur Spear	Instance	Neverreap	The Fractal Continuum
High Allagan Spear	Instance	The Second Coil of Bahamut - Turn 4	The Second Coil of Bahamut (Savage) - Turn 4
Giantsgall Trident	Acquire	Level 70 Weapon Coffer
The Spear of Crags	Instance	The Navel (Hard)
Thunderbolt	Instance	The Striking Tree (Extreme)
Wave Harpoon	Instance	The Whorleater (Extreme)
Ifrit's Harpoon	Instance	The Bowl of Embers (Hard)
Allagan Spear	Instance	The Binding Coil of Bahamut - Turn 5
Garuda's Beak	Instance	The Howling Eye (Hard)
Holy Lance	Acquire	Level 90 Weapon Coffer
Hart Guisarme	Acquire	Level 49 Weapon Coffer
Darklight Harpoon	Instance	The Wanderer's Palace	Amdapor Keep
Melancholy Mogfork	Instance	Thornmarch (Hard)
Heavy Steel Lance	Acquire	Level 34 Weapon Coffer
Cobalt Trident	Acquire	Level 45 Weapon Coffer
Shellsplitter	Instance	The Sunken Temple of Qarn
Canopus Guisarme	Instance	The Aurum Vale
Mythril Lance	Acquire	Level 40 Weapon Coffer
Silver Battle Fork	Acquire	Level 24 Weapon Coffer
Steel Halberd	Acquire	Level 28 Weapon Coffer
Longstop Lance	Instance	Brayflox's Longstop
Iron Guisarme	Acquire	Level 21 Weapon Coffer
Crier's Halberd	Instance	Cutter's Cry
Crimson Tide	Instance	The Thousand Maws of Toto-Rak
Tidesplitter	Instance	Haukke Manor
Plundered Guisarme	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Yarzonshell Harpoon	Acquire	Level 36 Weapon Coffer
Wyvern Spear	Instance	The Stone Vigil
Dzemael Spear	Instance	Dzemael Darkhold
Doctore's Fork	Instance	Halatali
Iron Lance	Acquire	Level 18 Weapon Coffer
Edenchoir Jamadhars	Acquire	Edenchoir Weapon Coffer
Edenchoir Jamadhars	Instance	Eden's Verse: Refulgence (Savage)
Titanbronze Fists	Acquire	Titanbronze Weapon Coffer
Omega Knuckles	Acquire	Omega Weapon Coffer
Omega Knuckles	Instance	Alphascape V4.0 (Savage)
Fae Knuckles	Instance	Dohn Mheg
Claws of the Forgiven	Instance	Mt. Gulg
Deepgold Knuckles	Acquire	Deepgold Weapon Coffer
Dwarven Mythril Knuckles	Acquire	High Mythril Weapon Coffer
Exclusive Eastern Journey Battle Staff	Acquire	Eastern Journey Attire Coffer
Bluespirit Baghnakhs	Acquire	Bluespirit Weapon Coffer
Zelos	Instance	The Minstrel's Ballad: Hades's Elegy
Lakeland Claws	Instance	Holminster Switch
Ruby Cesti	Instance	Cinder Drift (Extreme)
Edengrace Knuckles	Acquire	Edengrace Weapon Coffer
Edengrace Knuckles	Instance	Eden's Gate: Sepulture (Savage)
Nabaath Claws	Instance	Malikah's Well
The King's Claws	Instance	The Dancing Plague (Extreme)
Ravel Keeper's Knuckles	Instance	The Qitana Ravel
Diamond Knuckles	Acquire	Diamond Weapon Coffer
Diamond Knuckles	Instance	Sigmascape V4.0 (Savage)
Deepgold Katars	Acquire	White Oak Weapon Coffer
Seiryu's Bladed Tekko	Instance	The Wreath of Snakes (Extreme)
Jikki Kai	Acquire	Dai-ryumyaku Weapon Coffer
Shinryu's Claws	Instance	The Minstrel's Ballad: Shinryu's Domain
Susano's Knuckles	Instance	The Pool of Tribute (Extreme)
Byakko's Fists	Instance	The Jade Stoa (Extreme)
Genji Chakrams	Acquire	Genji Coffer
Genji Chakrams	Instance	Deltascape V4.0 (Savage)
Suzaku's Pinions	Instance	Hells' Kier (Extreme)
Tsukuyomi's Crescents	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Claws of the Crimson Lotus	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Antiquated Sudarshana Chakra	Acquire	Pacifist's Attire Coffer
Senju Shin	Instance	Doma Castle
The Everflowing Waters	Instance	Bardam's Mettle
Acantha Shavers	Instance	Castrum Abania
Alexandrian Metal Knuckles	Instance	Alexander - The Soul of the Creator (Savage)
Horde Knuckles	Instance	The Minstrel's Ballad: Nidhogg's Rage
Zurvanite Fists	Instance	Containment Bay Z1T9 (Extreme)
Ruby Tide Claws	Instance	Shisui of the Violet Tides
Fists of the Sephirot	Instance	Containment Bay S1T7 (Extreme)
Midan Metal Knuckles	Instance	Alexander - The Burden of the Son (Savage)
Gordian Cesti	Instance	Alexander - The Burden of the Father (Savage)
Sophic Fists	Instance	Containment Bay P1T6 (Extreme)
Knuckles of the Heavens	Instance	The Minstrel's Ballad: Thordan's Reign
Ghost Barque Katars	Instance	The Sirensong Sea
Baldur Claws	Instance	Neverreap	The Fractal Continuum
Hive Claws	Instance	Thok ast Thok (Extreme)
Expanse Patas	Instance	The Limitless Blue (Extreme)
Halonic Friar's Patas	Instance	The Vault
Destroyers	Instance	Sohm Al
Wargfangs	Instance	The Aery
Thavnairian Katars	Instance	The Great Gubal Library
Martial Patas	Instance	The Dusk Vigil
Allagan Baghnakhs	Instance	The Binding Coil of Bahamut - Turn 5
Thundercrack	Instance	The Striking Tree (Extreme)
Dreadwyrm Claws	Instance	The Final Coil of Bahamut - Turn 4
True Ice Claws	Instance	Akh Afah Amphitheatre (Extreme)
Fists of Crags	Instance	The Navel (Hard)
High Allagan Baghnakhs	Instance	The Second Coil of Bahamut - Turn 4	The Second Coil of Bahamut (Savage) - Turn 4
Glanzfaust	Acquire	Level 110 Weapon Coffer
Wave Patas	Instance	The Whorleater (Extreme)
Hellish Claws	Acquire	Level 90 Weapon Coffer
Murderous Mogfists	Instance	Thornmarch (Hard)
Garuda's Talons	Instance	The Howling Eye (Hard)
Verdant Hora	Instance	The Aurum Vale
Dzemael Jamadhars	Instance	Dzemael Darkhold
Ifrit's Claws	Instance	The Bowl of Embers (Hard)
Darklight Baghnakhs	Instance	The Wanderer's Palace	Amdapor Keep
Jamadhars	Instance	The Stone Vigil
Cobalt Claws	Acquire	Level 49 Weapon Coffer
Giantsgall Claws	Acquire	Level 70 Weapon Coffer
Tortoiseshell Hora	Acquire	Level 40 Weapon Coffer
Peisteskin Cesti	Acquire	Level 45 Weapon Coffer
Crier's Baghnakhs	Instance	Cutter's Cry
Toadskin Cesti	Acquire	Level 24 Weapon Coffer
Doctore's Hora	Instance	Halatali
Mythril Claws	Acquire	Level 36 Weapon Coffer
Plundered Knuckles	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Steel Claws	Acquire	Level 28 Weapon Coffer
Unbreakable Knuckles	Instance	Haukke Manor
Hard Leather Cesti	Acquire	Level 18 Weapon Coffer
Longstop Hora	Instance	Brayflox's Longstop
Boarskin Himantes	Acquire	Level 34 Weapon Coffer
Spiked Knuckles	Acquire	Level 21 Weapon Coffer
Edengrace Blade	Acquire	Edengrace Weapon Coffer
Edengrace Blade	Instance	Eden's Gate: Sepulture (Savage)
Ruby Samurai Blade	Instance	Cinder Drift (Extreme)
Edenchoir Samurai Blade	Acquire	Edenchoir Weapon Coffer
Edenchoir Samurai Blade	Instance	Eden's Verse: Refulgence (Savage)
Fists of the Sixth Sun	Instance	The Sunken Temple of Qarn
Howling Talons	Instance	The Thousand Maws of Toto-Rak
Suzaku's Chokuto	Instance	Hells' Kier (Extreme)
Deepgold Uchigatana	Acquire	Deepgold Weapon Coffer
Genji Katana	Acquire	Genji Coffer
Genji Katana	Instance	Deltascape V4.0 (Savage)
Titanbronze Uchigatana	Acquire	Titanbronze Weapon Coffer
Seiryu's Rippled Katana	Instance	The Wreath of Snakes (Extreme)
Omega Samurai Blade	Acquire	Omega Weapon Coffer
Omega Samurai Blade	Instance	Alphascape V4.0 (Savage)
Ravel Keeper's Blade	Instance	The Qitana Ravel
Dwarven Mythril Uchigatana	Acquire	High Mythril Weapon Coffer
The King's Katana	Instance	The Dancing Plague (Extreme)
Diamond Katana	Acquire	Diamond Weapon Coffer
Diamond Katana	Instance	Sigmascape V4.0 (Savage)
Aischune	Instance	The Minstrel's Ballad: Hades's Elegy
Blade of the Forgiven	Instance	Mt. Gulg
Nabaath Katana	Instance	Malikah's Well
Byakko's Katana	Instance	The Jade Stoa (Extreme)
Kanesada Kai	Acquire	Dai-ryumyaku Weapon Coffer
Lakeland Blade	Instance	Holminster Switch
Fae Blade	Instance	Dohn Mheg
Bluespirit Uchigatana	Acquire	Bluespirit Weapon Coffer
Tsukuyomi's Chokuto	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Deepgold Blade	Acquire	White Oak Weapon Coffer
Shinryu's Katana	Instance	The Minstrel's Ballad: Shinryu's Domain
Okanehira Shin	Instance	Doma Castle
Horde Katana	Instance	The Minstrel's Ballad: Nidhogg's Rage
The Unsullied Skies	Instance	Bardam's Mettle
Katana of the Heavens	Instance	The Minstrel's Ballad: Thordan's Reign
Gordian Katana	Instance	Alexander - The Burden of the Father (Savage)
Zurvanite Katana	Instance	Containment Bay Z1T9 (Extreme)
Kotetsu	Instance	Castrum Abania
Alexandrian Metal Katana	Instance	Alexander - The Soul of the Creator (Savage)
Midan Metal Katana	Instance	Alexander - The Burden of the Son (Savage)
Uchigatana of the Crimson Lotus	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Antiquated Kiku-ichimonji	Acquire	Myochin Armor Coffer
